"ModelType","Name","Type","Body","Head","Hands","Legs","Feet"
"0","Player","Character","","","","",""
"1","Chocobo","Mount","","","","",""
"2","Magitek Reaper","Monster","","","","",""
"3","Amalj'aa","Monster","","","","",""
"4","Ixal","Monster","","","","",""
"5","Kobold","Monster","","","","",""
"6","Goblin","Monster","","","","",""
"7","Sylph","Monster","","","","",""
"8","Moogle","Monster","","","","",""
"9","Sahagin","Monster","","","","",""
"10","Mamool Ja Warrior","Monster","","","","",""
"11","Hecatonchier","Monster","","","","",""
"12","Giant","Monster","","","","",""
"13","Gigas","Monster","","","","",""
"14","Qiqirn","Monster","","","","",""
"15","Delivery Moogle","Monster","","","","",""
"16","Lamia","Monster","","","","",""
"17","Skeleton","Monster","","","","",""
"18","Succubus","Monster","","","","",""
"18","Halicarnassus","Monster","2","","","",""
"19","Demon","Monster","","","","",""
"20","Miteling","Monster","","","","",""
"21","Diremite","Monster","","","","",""
"22","Banemite","Monster","","","","",""
"23","Graffias","Monster","","","","",""
"24","Rat","Monster","","","","",""
"25","Squirrel","Monster","","","","",""
"26","Marmot","Monster","","","","",""
"27","Dormouse","Monster","","","","",""
"28","Funguar","Monster","","","","",""
"29","Myconid","Monster","","","","",""
"30","Funguar (Blue)","Monster","","","","",""
"31","Galago","Monster","","","","",""
"32","Lemur","Monster","","","","",""
"33","Galago (collared)","Monster","","","","",""
"34","Ochu","Monster","","","","",""
"35","Microchu","Monster","","","","",""
"36","Chigoe","Monster","","","","",""
"37","Djigga","Monster","","","","",""
"38","Flea","Monster","","","","",""
"39","Buzzard","Monster","","","","",""
"40","Condor","Monster","","","","",""
"41","Bateleur","Monster","","","","",""
"42","Kite","Monster","","","","",""
"43","Falcon","Monster","","","","",""
"44","Hog","Monster","","","","",""
"45","Boar","Monster","","","","",""
"46","Hog (lighter)","Monster","","","","",""
"47","Kamapuaa","Monster","","","","",""
"48","Roseling","Monster","","","","",""
"49","Flytrap","Monster","","","","",""
"50","Slug","Monster","","","","",""
"51","Sea Hare","Monster","","","","",""
"52","Dark Matter Slug","Monster","","","","",""
"53","Gnat","Monster","","","","",""
"54","Ked","Monster","","","","",""
"55","Magitek Bit","Monster","","","","",""
"56","Weevil","Monster","","","","",""
"57","Ladybug","Monster","","","","",""
"58","Midge Swarm","Monster","","","","",""
"59","Syrphid Swarm","Monster","","","","",""
"60","Bee Swarm","Monster","","","","",""
"61","Antelope Doe","Monster","","","","",""
"62","Antelope Stag","Monster","","","","",""
"63","Imp","Monster","","","","",""
"64","Devilet","Monster","","","","",""
"65","Coeurl","Monster","","","","",""
"66","Torama","Monster","","","","",""
"67","Panther","Monster","","","","",""
"68","Dark Matter Coeurl","Monster","","","","",""
"69","Coeurl Pup","Monster","","","","",""
"70","Coeurl","Mount","","","","",""
"71","Mindflayer","Monster","","","","",""
"72","Psycheflayer","Monster","","","","",""
"73","Mindflayer (The Hunt)","Monster","","","","",""
"74","Piscodemon","Monster","","","","",""
"75","Sand Yarzon","Monster","","","","",""
"76","Bog Yarzon","Monster","","","","",""
"78","Firefly","Monster","","","","",""
"79","Wisp","Monster","","","","",""
"80","Plasmoid","Monster","","","","",""
"81","Mudestone Golem","Monster","","","","",""
"82","Chert Golem","Monster","","","","",""
"83","Temple Guardian","Monster","","","","",""
"84","Mudestone Golem (spike)","Monster","","","","",""
"85","Chert Golem (spike)","Monster","","","","",""
"86","Temple Guardian (spike)","Monster","","","","",""
"87","Dark Matter Golem","Monster","","","","",""
"88","Spriggolem","Monster","","","","",""
"89","Tonberry","Monster","","","","",""
"90","Tonberry (darker)","Monster","","","","",""
"91","Tonberry King","Monster","","","","",""
"92","Tonberry Scholar","Monster","","","","",""
"93","Tonberry Black Mage","Monster","","","","",""
"94","Tortoise","Monster","","","","",""
"95","Adamantoise","Monster","","","","",""
"96","Raptor","Monster","","","","",""
"97","Anole","Monster","","","","",""
"98","Bat","Monster","","","","",""
"99","Kalong","Monster","","","","",""
"100","Bomb","Monster","","","","",""
"101","Grenade","Monster","","","","",""
"102","Shrapnel","Monster","","","","",""
"103","Bomb (flaming)","Monster","","","","",""
"104","Treant","Monster","","","","",""
"105","Treant (Greenwrath)","Monster","","","","",""
"106","Dryad","Monster","","","","",""
"107","Spriggan (Yellow-eyed/Lightning Rock)","Monster","","","","",""
"108","Spriggan (Yellow-eyed/Earth Rock)","Monster","","","","",""
"109","Spriggan (Yellow-eyed/Mythril Ore)","Monster","","","","",""
"110","Spriggan (Yellow-eyed/Copper Ore)","Monster","","","","",""
"111","Spriggan (Red-eyed/Lightning Rock)","Monster","","","","",""
"112","Spriggan (Red-eyed/Earth Rock)","Monster","","","","",""
"113","Spriggan (Red-eyed/Mythril Ore)","Monster","","","","",""
"114","Spriggan (Red-eyed/Copper Ore)","Monster","","","","",""
"115","Spriggan (Yellow-eyed/Pristine Egg)","Monster","","","","",""
"116","Spriggan (Yellow-eyed/Chocobo Egg)","Monster","","","","",""
"117","Spriggan (Yellow-eyed/Midnight Egg)","Monster","","","","",""
"118","Spriggan (Yellow-eyed/Brilliant Egg)","Monster","","","","",""
"119","Spriggan (Yellow-eyed/Vibrant Egg)","Monster","","","","",""
"120","Spriggan (Yellow-eyed/Motley Egg)","Monster","","","","",""
"121","Dullahan (clean)","Monster","","","","",""
"122","Dullahan (shiny)","Monster","","","","",""
"123","Dullahan (rusty)","Monster","","","","",""
"124","Face of the Hero","Monster","","","","",""
"125","Dullahan (clean)","Monster","","","","",""
"126","Gigantoad","Monster","","","","",""
"127","Nix","Monster","","","","",""
"128","Poison Nix","Monster","","","","",""
"129","Gigantoad (green)","Monster","","","","",""
"130","Puk","Monster","","","","",""
"131","Pteroc","Monster","","","","",""
"132","Puk (yellow)","Monster","","","","",""
"133","Hippocerf","Monster","","","","",""
"134","Hippogryph","Monster","","","","",""
"135","Basilisk","Monster","","","","",""
"136","Peiste","Monster","","","","",""
"137","Wadjet","Monster","","","","",""
"138","Buffalo","Monster","","","","",""
"139","Aurochs","Monster","","","","",""
"140","Wisent","Monster","","","","",""
"141","Cactuar","Monster","","","","",""
"142","Sabotender","Monster","","","","",""
"143","Flowertender","Monster","","","","",""
"144","Cactuar (yellow)","Monster","","","","",""
"145","Morbol","Monster","","","","",""
"146","Great Morbol","Monster","","","","",""
"147","Miser's Mistress","Monster","","","","",""
"148","Clipper","Monster","","","","",""
"149","Snipper","Monster","","","","",""
"150","Nahn","Monster","","","","",""
"151","Salamander","Monster","","","","",""
"152","Eft","Monster","","","","",""
"153","Eft (orange)","Monster","","","","",""
"154","Blueback","Monster","","","","",""
"155","Sableback","Monster","","","","",""
"156","Violetback","Monster","","","","",""
"157","Yellowback","Monster","","","","",""
"158","Dark Matter Pelican","Monster","","","","",""
"159","Wolf","Monster","","","","",""
"160","Jackal","Monster","","","","",""
"161","White Wolf","Monster","","","","",""
"162","Tao Quan","Monster","","","","",""
"163","Watchwolf","Monster","","","","",""
"164","Scurvy Dog","Monster","","","","",""
"165","Behemoth","Monster","","","","",""
"166","Kaiser Behemoth","Monster","","","","",""
"167","Floating Eye","Monster","","","","",""
"168","Ahriman","Monster","","","","",""
"169","Arimaspi","Monster","","","","",""
"170","Ahriman (red)","Monster","","","","",""
"171","Dirty Eye","Monster","","","","",""
"172","Ahriman","Mount","","","","",""
"173","Dodo","Monster","","","","",""
"174","Cockatrice","Monster","","","","",""
"175","Cockatrice (Blue)","Monster","","","","",""
"176","Coblyn","Monster","","","","",""
"177","Doblyn","Monster","","","","",""
"178","Crystal Coblyn","Monster","","","","",""
"179","Drake","Monster","","","","",""
"180","Biast","Monster","","","","",""
"181","Battle Drake","Monster","","","","",""
"182","Elbst","Monster","","","","",""
"183","Aldgoat Billy","Monster","","","","",""
"184","Aldgoat Nanny","Monster","","","","",""
"185","Mosshorn","Monster","","","","",""
"186","Magitek Juggernaut","Monster","","","","",""
"187","Ogre","Monster","","","","",""
"188","Hapalit","Monster","","","","",""
"189","Hrimthurs","Monster","","","","",""
"190","Apkallu","Monster","","","","",""
"192","Antling Soldier","Monster","","","","",""
"193","Antling Princess","Monster","","","","",""
"194","Antling Worker","Monster","","","","",""
"195","Antling Marshal","Monster","","","","",""
"196","Antling Queen","Monster","","","","",""
"197","Chimera","Monster","","","","",""
"198","Goobbue","Monster","","","","",""
"199","Highland Goobbue","Monster","","","","",""
"200","Goobbue","Mount","","","","",""
"201","Marshmallow (White-eyed)","Monster","","","","",""
"202","Gelato (White-eyed)","Monster","","","","",""
"203","Flan (White-eyed)","Monster","","","","",""
"204","Custard (White-eyed)","Monster","","","","",""
"205","Pudding (White-eyed)","Monster","","","","",""
"206","Bavarois (White-eyed)","Monster","","","","",""
"207","Marshmallow (Black-eyed)","Monster","","","","",""
"208","Gelato (Black-eyed)","Monster","","","","",""
"209","Flan (Black-eyed)","Monster","","","","",""
"210","Custard (Black-eyed)","Monster","","","","",""
"211","Pudding (Black-eyed)","Monster","","","","",""
"212","Bavarois (Black-eyed)","Monster","","","","",""
"213","Magitek Vanguard","Monster","","","","",""
"214","Magitek Vanguard H","Monster","","","","",""
"215","Magitek Vanguard F","Monster","","","","",""
"216","Lesser Gargoyle","Monster","","","","",""
"217","Greater Gargoyle","Monster","","","","",""
"218","Batraal","Monster","","","","",""
"219","Cyclops","Monster","","","","",""
"220","Elder Cyclops","Monster","","","","",""
"221","Mammet (Red Helmet)","Monster","","","","",""
"222","Mammet (Blue Helmet)","Monster","","","","",""
"223","Mammet (Black Helmet)","Monster","","","","",""
"224","Wyvern","Monster","","","","",""
"225","Aery Wyvern","Monster","","","","",""
"226","Twintania","Monster","","","","",""
"227","Atomos","Monster","","","","",""
"228","Shadow Dragon","Monster","","","","",""
"229","Thunder Dragon","Monster","","","","",""
"230","Moss Dragon","Monster","","","","",""
"231","Ice Dragon","Monster","","","","",""
"232","Zombie Dragon","Monster","","","","",""
"233","Deathgaze","Monster","","","","",""
"234","Blue Cobra","Monster","","","","",""
"235","Red Cobra","Monster","","","","",""
"236","Coeurlregina","Monster","","","","",""
"237","Rock Gaol","Monster","","","","",""
"238","Sandworm","Monster","","","","",""
"239","Brineworm","Monster","","","","",""
"240","Giant Tunnel Worm","Monster","","","","",""
"241","Abyss Worm","Monster","","","","",""
"242","Gigaworm","Monster","","","","",""
"243","Siren","Monster","","","","",""
"244","Five-Headed Dragon","Monster","","","","",""
"245","Hydra","Monster","","","","",""
"246","Three-Headed (blue)","Unknown","","","","",""
"247","Three-Headed (yellow)","Unknown","","","","",""
"248","Fenrir","Monster","","","","",""
"249","Granite Gaol","Monster","","","","",""
"250","Phlegethon","Monster","","","","",""
"251","Amon","Monster","","","","",""
"252","Cait Sith","Monster","","","","",""
"253","Magitek Colossus","Monster","","","","",""
"254","Rubricatus","Monster","","","","",""
"255","Mark II Magitek Colossus","Monster","","","","",""
"256","Demon Wall","Monster","","","","",""
"257","Demon Wall (copy)","Monster","","","","",""
"258","Demon Wall (copy)","Monster","","","","",""
"259","Demon Wall (copy)","Monster","","","","",""
"260","Demon Wall (copy)","Monster","","","","",""
"261","Typhon","Monster","","","","",""
"262","Typhon [Investigate]","Monster","","","","",""
"263","Magic Pot","Monster","","","","",""
"264","Bogy","Monster","","","","",""
"265","Revenant","Monster","","","","",""
"266","Phurble","Monster","","","","",""
"267","Snurble","Monster","","","","",""
"268","Angler","Monster","","","","",""
"269","Remora","Monster","","","","",""
"270","Orobon","Monster","","","","",""
"271","Fire Elemental","Monster","","","","",""
"272","Lightning Elemental","Monster","","","","",""
"273","Water Elemental","Monster","","","","",""
"274","Elemental (brown)","Monster","","","","",""
"275","Elemental (red)","Monster","","","","",""
"276","Ice Elemental","Monster","","","","",""
"277","Wind Elemental","Monster","","","","",""
"278","Earth Elemental","Monster","","","","",""
"279","Aurelia","Monster","","","","",""
"280","Sea Wasp","Monster","","","","",""
"281","Dark Matter Aurelia","Monster","","","","",""
"282","Mole","Monster","","","","",""
"283","Hedgemole","Monster","","","","",""
"284","Ram (bell)","Monster","","","","",""
"285","Ram","Monster","","","","",""
"286","Ewe (bell)","Monster","","","","",""
"287","Ewe","Monster","","","","",""
"288","Karakul Ram (bell)","Monster","","","","",""
